series_idx,window_idx,rmse,mae,mape,smape,mql_0_50,mic_10_90,n_points
0,0,51.43252569344439,46.86209690334539,67.4271815722249,78.53976605488376,46.86209690334539,0.5,6
0,1,36.8520203400216,32.237353275165084,10465.510984488545,63.634599821888635,32.237353275165084,0.8333333333333334,6
0,2,70.31083565864232,69.85979708730362,67.41666208512316,101.87895755483021,69.85979708730362,0.8333333333333334,6
1,0,9.486661254519179,7.446145642233425,58.887136313518084,34.64890930969999,7.446145642233425,0.8333333333333334,6
1,1,32.724132853006125,31.40650330558846,12939.684848057697,158.6779399067834,31.40650330558846,0.0,6
1,2,9.912848343134813,7.696898617001729,229.96348638565246,51.13004614063047,7.696898617001729,0.8333333333333334,6
2,0,18.328263803223873,16.282647828302785,5042.851254872341,73.21681741722576,16.282647828302785,0.8333333333333334,6
2,1,14.324662924755149,12.447931398164547,3866.7560249672065,73.67885233543096,12.447931398164547,0.8333333333333334,6
2,2,14.599439400925688,13.952387757189905,2988.674850346501,84.90632412264277,13.952387757189905,0.6666666666666666,6
3,0,20.16013359594521,19.75411094065694,70.16128059724247,53.903278848775884,19.75411094065694,1.0,6
3,1,25.839178450536302,25.072852972861153,87.71453094350679,59.343567259670415,25.072852972861153,1.0,6
3,2,15.760687768396803,13.146769730279651,67.9830251129619,43.55931012169456,13.146769730279651,0.6666666666666666,6
4,0,29.949079333457135,20.320679777314247,42.35687686238843,35.910497447837415,20.320679777314247,0.8333333333333334,6
4,1,30.10638668775298,26.840644834272783,14091.840510040684,103.90116012427526,26.840644834272783,0.6666666666666666,6
4,2,50.993485119153554,50.08433956142006,17025.476491123994,156.74847753133426,50.08433956142006,0.16666666666666666,6
5,0,22.4925954741541,19.110890927246952,270.9532101325236,62.799290250824626,19.110890927246952,0.8333333333333334,6
5,1,40.35168941246602,36.4247862977086,46.43173133285657,63.05793445732518,36.4247862977086,0.8333333333333334,6
5,2,15.14888137028224,14.522185508580362,49.78808894652417,41.90566270853715,14.522185508580362,1.0,6
6,0,27.210991081721268,25.247902455236712,303.9953633476612,99.8140759855247,25.247902455236712,0.6666666666666666,6
6,1,48.91584133044154,48.49213882623331,541.5556825486823,145.92464266964527,48.49213882623331,0.8333333333333334,6
6,2,31.76769915154795,31.726758915495356,349.27451326505434,126.3382727949568,31.726758915495356,0.8333333333333334,6
7,0,22.0562715588589,18.248150473412544,32.81361667482194,43.85074675219696,18.248150473412544,1.0,6
7,1,17.14759962920098,16.331957037676382,52.176725084569654,40.313609145488805,16.331957037676382,0.8333333333333334,6
7,2,24.61494405760905,23.705025076445754,201.9794263449088,74.61109749634454,23.705025076445754,1.0,6
8,0,8.581080435416819,7.90183130485672,15.087348225119532,16.505492260171533,7.90183130485672,1.0,6
8,1,44.93029567078033,36.391133548003886,15287.990656383701,95.26031551326226,36.391133548003886,0.8333333333333334,6
8,2,10.419589153160246,8.68089654412348,14.639274450451248,16.199356280088438,8.68089654412348,1.0,6
9,0,17.37425972519582,14.954213046880218,21.92423239504259,25.636846950826875,14.954213046880218,1.0,6
9,1,50.40105638362597,43.15014620069682,33787.495537971416,117.4358527823603,43.15014620069682,0.5,6
9,2,32.06958274923392,31.24602929788183,58.2582393540194,53.36350531693409,31.24602929788183,1.0,6
10,0,71.02310472023544,60.185209720677875,119.5441176138013,77.48959832924976,60.185209720677875,0.3333333333333333,6
10,1,51.72702553551975,39.62662461120925,4236.880076346615,73.50227605628902,39.62662461120925,0.6666666666666666,6
10,2,31.686661236289503,26.247304227969508,178.2463908548917,58.91241582807501,26.247304227969508,1.0,6
11,0,34.79885006322235,33.227903739849616,182.47269222940224,73.91783858156525,33.227903739849616,0.8333333333333334,6
11,1,41.48578031667495,36.39332649049262,7509.5239097760395,87.33362172097719,36.39332649049262,0.8333333333333334,6
11,2,39.03188877558619,33.40962809350705,8261.187690409379,69.10212168028504,33.40962809350705,0.5,6
12,0,43.94413453401832,38.853395960075936,215.37571542184247,87.80654136595567,38.853395960075936,0.3333333333333333,6
12,1,39.6538180706321,37.8315809591169,9246.41129821133,108.18777685685438,37.8315809591169,0.5,6
12,2,16.611304274596954,16.039242274068805,64.20192964931223,47.69428089985574,16.039242274068805,1.0,6
13,0,14.371914901878755,13.29925575518412,363.5829609750291,99.63786618507605,13.29925575518412,0.8333333333333334,6
