series_idx,window_idx,rmse,mae,mape,smape,mql_0_50,mic_10_90,n_points
0,0,43.53883759395754,43.00111496771596,95.32100503574067,68.79656337958949,43.00111496771596,1.0,6
0,1,32.7009983902663,23.048737224993403,10728.276448326145,54.243280062248836,23.048737224993403,0.8333333333333334,6
0,2,41.59412608536821,41.40337856761386,40.10052561990336,50.23083012589634,41.40337856761386,1.0,6
1,0,13.594125877754886,11.35352555543931,88.0395470843275,45.34062236174108,11.35352555543931,1.0,6
1,1,37.082802758343846,36.559893613539366,15169.892129436923,164.69859599311715,36.559893613539366,0.5,6
1,2,17.2895411796232,15.74852835607817,321.8519511613633,75.35768988948858,15.74852835607817,0.8333333333333334,6
2,0,29.392696416346865,25.55230793924926,8671.629703130606,73.37485707512505,25.55230793924926,0.8333333333333334,6
2,1,25.68951819826866,20.85776447135489,7989.908806055834,80.72367859346356,20.85776447135489,0.8333333333333334,6
2,2,31.466886574936602,29.519642763164825,8471.518795379434,87.2455438505444,29.519642763164825,0.8333333333333334,6
3,0,56.734285002336016,48.72550467178878,173.66860005406065,92.10264846459278,48.72550467178878,1.0,6
3,1,65.69896792660461,64.21486990683188,227.50757255465754,103.09171054034604,64.21486990683188,0.8333333333333334,6
3,2,34.20008892832678,25.935836874747395,155.916278515819,54.62450219186107,25.935836874747395,0.8333333333333334,6
4,0,60.646347986430634,49.21999524312031,136.71532469305998,60.81982100972857,49.21999524312031,0.8333333333333334,6
4,1,56.14991394870347,53.913899006630885,16146.806884210113,136.1269502058736,53.913899006630885,0.5,6
4,2,80.83674158047062,79.2291061075978,22645.66592728605,169.0426678572184,79.2291061075978,0.3333333333333333,6
5,0,36.26495955931072,29.251874450172682,461.53141226307605,70.06978750830328,29.251874450172682,0.8333333333333334,6
5,1,31.124265069362906,27.634120229443884,35.354144674524065,42.93825392048849,27.634120229443884,1.0,6
5,2,22.84146169846095,19.455896049077648,78.02824221364496,49.757922367015,19.455896049077648,1.0,6
6,0,55.040641614606436,53.504913252737985,568.1497324022711,131.3177131802772,53.504913252737985,0.3333333333333333,6
6,1,47.577281818116376,47.24061881704247,535.3648658541133,144.69457222409554,47.24061881704247,0.3333333333333333,6
6,2,38.086127310543006,37.79555385430635,414.7004211075247,133.91485092799502,37.79555385430635,0.5,6
7,0,40.508965756255186,38.017081632857746,64.75983711265218,55.91634565407109,38.017081632857746,1.0,6
7,1,65.92232766964308,60.457998585376096,191.071310827329,90.70232306967179,60.457998585376096,0.8333333333333334,6
7,2,54.32818153551538,52.144451608266536,337.7395698158175,108.31520381576621,52.144451608266536,0.8333333333333334,6
8,0,22.493094140106688,20.89803056130288,42.097756002817846,33.69576917549759,20.89803056130288,1.0,6
8,1,30.58792401645449,26.6957374997712,9514.90799280848,92.23555750493689,26.6957374997712,0.5,6
