series_idx,window_idx,rmse,mae,mape,smape,mql_0_50,mic_10_90,n_points
140,1,196.59742805027176,178.38344811624805,129.50405404776654,73.90661716188374,178.38344811624805,1.0,6
140,2,91.77210719860379,88.93263693218456,76.73275485390786,54.24755209490488,88.93263693218456,1.0,6
141,0,144.93622375449905,118.75667478431427,57.10639581287901,39.0317301542987,118.75667478431427,1.0,6
141,1,241.80381739098988,228.02430938241852,199.58177240018657,88.94512881183535,228.02430938241852,0.6666666666666666,6
141,2,486.5823644239515,454.8256805586764,2994.022030755119,154.79743723807445,454.8256805586764,0.3333333333333333,6
142,0,249.4686882310822,242.26015034708166,330.6379913537492,101.01692615500164,242.26015034708166,0.8333333333333334,6
142,1,512.9467543659849,474.3723503782314,1377.3397202520434,151.56065080594743,474.3723503782314,0.5,6
142,2,338.91593522350286,328.4805075109858,391.1434482832409,128.2933385969024,328.4805075109858,0.6666666666666666,6
143,0,113.86705173318595,101.04354008980626,29984.97082848774,99.4258461646587,101.04354008980626,0.6666666666666666,6
143,1,59.17893219275422,47.56450801054361,40.908097356002045,31.44429826364819,47.56450801054361,1.0,6
143,2,77.25920061153953,61.983208486563484,39868.039795495606,87.44869638118938,61.983208486563484,0.6666666666666666,6
144,0,52.11458116992839,49.21147917396488,32.98106790267272,27.849902189128244,49.21147917396488,1.0,6
144,1,98.57580164478844,80.267116409509,28641.951758195853,80.08186262638523,80.267116409509,0.6666666666666666,6
144,2,247.08160738023895,239.1746377695738,96976.7796945269,162.37801351359445,239.1746377695738,0.5,6
145,0,67.7883310270672,57.248056338245085,17.915358978114458,15.951138683341146,57.248056338245085,1.0,6
145,1,149.7509626300706,131.6914281616795,70.96507020728028,46.23742099694266,131.6914281616795,0.8333333333333334,6
145,2,335.03913124196436,329.76270932699816,338.85690297095414,124.42328132685994,329.76270932699816,0.3333333333333333,6
146,0,138.74383900070256,136.20166654362234,79032.58164267267,150.1952702922597,136.20166654362234,0.3333333333333333,6
146,1,133.54804365494257,120.09257625367691,57.49398228658337,42.60251737957193,120.09257625367691,1.0,6
146,2,124.89834169041946,119.009534068819,75230.08335003491,143.29688186479325,119.009534068819,0.5,6
147,0,51.14452841099409,43.01990970780822,14505.317379518854,78.02936282001154,43.01990970780822,0.8333333333333334,6
147,1,53.9965161567198,50.07824259781366,1110.075005392092,68.82534100881506,50.07824259781366,1.0,6
147,2,59.10071732669084,38.219936656160044,30.045586865251412,37.394219379260235,38.219936656160044,0.8333333333333334,6
148,0,160.57992176103787,130.2676115907664,14402.58011564562,121.04535447774292,130.2676115907664,0.5,6
148,1,293.41365088011963,243.3803099006038,26720.39024611343,158.7779319884855,243.3803099006038,0.3333333333333333,6
148,2,66.35655133859088,54.83568842186461,38.97290538650262,54.54706722589844,54.83568842186461,1.0,6
149,0,103.71782668214968,102.59003713031898,19920.09298027991,107.32751127407695,102.59003713031898,0.8333333333333334,6
149,1,103.49326222946286,96.80657345893377,59672.70229998359,142.77710211753273,96.80657345893377,0.3333333333333333,6
149,2,188.17773947109737,177.50868586103638,13809.166443573788,134.424262277786,177.50868586103638,0.8333333333333334,6
150,0,132.0555183081228,119.23388149091302,76127.06162310709,147.411532090931,119.23388149091302,0.3333333333333333,6
150,1,72.93091935051325,59.37055525420578,694.491979028357,88.55867851883855,59.37055525420578,0.6666666666666666,6
150,2,58.60870517040716,55.24949445795776,13716.154905005502,121.97529678536208,55.24949445795776,0.8333333333333334,6
151,0,275.41463865288017,250.68019249740075,126026.66020997585,127.65445394772127,250.68019249740075,0.5,6
151,1,539.3729778981107,494.8545261189372,1693.3780117398765,98.551755716241,494.8545261189372,0.8333333333333334,6
151,2,312.00688617574923,295.6307726856206,68547.46122131195,149.68475737921472,295.6307726856206,0.6666666666666666,6
152,0,31.686683465733026,29.839263967306195,20.141863016213325,18.07864140465176,29.839263967306195,1.0,6
152,1,65.92843602677371,64.03073968590891,48.04194063191693,38.326083784553845,64.03073968590891,1.0,6
152,2,78.91825175331705,76.89661631153244,66.18586655183695,49.0593597813558,76.89661631153244,1.0,6
153,0,32.831683902823535,29.908563486673103,22.74132512819348,20.53907755853344,29.908563486673103,1.0,6
153,1,165.551923580493,150.04252236555794,129.04511324734537,74.29949974326327,150.04252236555794,1.0,6
153,2,68.43315439715025,66.18243310483858,78.76707718364489,54.011504798265975,66.18243310483858,0.8333333333333334,6
154,0,60.74463557202618,56.133133484482606,29.428332805722317,25.078904865218693,56.133133484482606,1.0,6
154,1,265.8805854090127,239.91137342212826,139.48616077238086,77.15865349856045,239.91137342212826,1.0,6
154,2,86.05577892315927,81.90385818383956,50.85360058901479,39.575665625466684,81.90385818383956,1.0,6
155,0,58.470229862135355,55.25522458071334,60.63479016171123,44.89932936754275,55.25522458071334,1.0,6
155,1,82.91203284595336,76.7291135902201,1771.3360019171153,96.06362543064536,76.7291135902201,0.5,6
155,2,85.70407531341311,68.45750861988677,42828.35407263237,93.36673882361676,68.45750861988677,0.5,6
156,0,54.847523195069336,53.93080154865472,32.08793743985579,27.498736943600093,53.93080154865472,1.0,6
156,1,337.55175429929426,316.5818473697351,250.98936266649395,104.8029751258828,316.5818473697351,0.8333333333333334,6
156,2,159.18867059373966,126.73874773032854,75716.27313360249,106.8008247331822,126.73874773032854,0.5,6
157,0,87.29687863435421,83.68759379569276,57.82081444437461,43.93400008996021,83.68759379569276,1.0,6
157,1,70.25337859871246,66.41190998624745,45.7853636500293,36.285564574442304,66.41190998624745,1.0,6
157,2,91.93443924071354,90.06395445605888,70.6024593248205,51.67821279140632,90.06395445605888,1.0,6
158,0,91.94506905663985,73.27099333744684,25708.407739950424,69.8440324322243,73.27099333744684,0.8333333333333334,6
158,1,73.88644070832228,53.63111985144798,208.82082443145626,46.09671587720283,53.63111985144798,1.0,6
158,2,35.351201300301256,30.805993321675782,22.74970375053482,21.442699037936645,30.805993321675782,1.0,6
159,0,86.74513145116924,81.20048363483137,45.24535693489284,36.14671522548076,81.20048363483137,1.0,6
159,1,93.51010764893837,77.65755511465214,61.50667793446254,40.42012728798599,77.65755511465214,0.8333333333333334,6
159,2,121.65047054295067,113.73461048032654,1308.7562368012807,104.05094998026534,113.73461048032654,0.6666666666666666,6
160,0,170.81713751027092,167.04275979928832,205.45626239529952,97.5931312799529,167.04275979928832,0.3333333333333333,6
