input_chunk_length,output_chunk_length,hidden_size,num_attention_heads,lstm_layers,hidden_continuous_size,dropout,batch_size,n_epochs,lr,weight_decay,mql_0_50,rmse,mae,smape,mic_10_90
24,6,192,4,3,32,0.1,128,30,0.0015,0.0,29.4866274499497,32.77731151031448,29.4866274499497,64.51026506223178,0.7617702448210923
24,6,192,8,2,32,0.05,128,30,0.0005,0.0,27.54607083375556,31.367138179055924,27.54607083375556,63.209532653833655,0.8241054613935969
24,6,192,8,3,16,0.1,128,30,0.001,0.0,28.317771987388536,32.91109044442539,28.317771987388536,64.2168932644929,0.9207156308851224
24,6,128,4,3,32,0.05,128,30,0.0005,0.0,28.971040787566103,32.5203335451979,28.971040787566103,64.42670749024853,0.6941619585687382
24,6,128,8,2,32,0.1,64,30,0.0015,0.0,24.85623934248885,28.08714912217531,24.85623934248885,61.6561725334888,0.696045197740113
24,6,128,4,3,32,0.1,64,30,0.0015,0.0,28.86818917159624,32.50611382194122,28.86818917159624,64.58950130438484,0.7182674199623351
24,6,192,4,2,16,0.05,64,30,0.001,0.0,31.432527736057622,35.885916086294685,31.432527736057622,68.7237660601378,0.7568738229755178
24,6,192,8,3,32,0.05,128,30,0.0015,0.0,26.331760429411545,30.003730331361083,26.331760429411545,63.48625982851479,0.7549905838041431
