num_attention_heads,hidden_size,lstm_layers,hidden_continuous_size,dropout,batch_size,n_epochs,lr,weight_decay,value,mql_0_50,rmse,mae,smape,mic_10_90,input_chunk_length,output_chunk_length
4,64,3,24,0.3,64,20,0.00018659959624904942,1.6480446427978994e-05,118.19490823145955,118.19490823145955,130.54171811054388,118.19490823145955,103.7868668989674,0.9282485875706215,24,6
2,64,2,16,0.2,128,20,0.00012476394272569445,0.006245139574743076,54.78979639652542,54.78979639652542,62.4034463376933,54.78979639652542,104.05395330215451,0.9525423728813559,24,6
2,96,2,24,0.2,128,40,0.00018752209455786411,0.00755681014127443,49.67684839915524,49.67684839915524,54.44881928400589,49.67684839915524,78.98628443401793,0.8670433145009416,24,6
4,96,1,24,0.25,64,40,0.00016149614799999194,0.0016172900811143157,45.45587309110873,45.45587309110873,50.65979728357132,45.45587309110873,74.38125487209089,0.9018832391713747,24,6
4,128,3,16,0.05,64,30,0.00012413189635294234,1.753594952976443e-05,36.479174893656634,36.479174893656634,41.00998993980587,36.479174893656634,68.01941561032658,0.8807909604519774,24,6
4,64,3,24,0.2,64,20,0.00011128194768838959,0.00035127047262708476,64.39119468830185,64.39119468830185,72.10079298817716,64.39119468830185,88.61983195764597,0.9879472693032015,24,6
8,128,1,32,0.25,128,50,0.00018861950443028856,0.0037173717478250516,32.17012269054839,32.17012269054839,36.78520933013522,32.17012269054839,67.24940944591417,0.8224105461393596,24,6
8,160,3,16,0.15000000000000002,64,30,0.002470540427082325,1.9625093208439877e-05,33.162902552030666,33.162902552030666,37.20101242395888,33.162902552030666,67.82501845761806,0.7429378531073446,24,6
4,64,1,32,0.2,128,50,0.00022587177280197245,3.7982145084532588e-06,29.754488825623906,29.754488825623906,33.00444722230787,29.754488825623906,86.02773184850514,0.6178907721280602,24,6
4,96,2,24,0.05,64,20,0.00011487613841748918,0.00023097861492693574,79.38656500429518,79.38656500429518,84.0205336649287,79.38656500429518,90.92807673014173,0.8751412429378531,24,6
4,64,1,32,0.25,128,50,0.0001961768351148511,5.484180875702179e-06,30.698804624487007,30.698804624487007,34.012642142557965,30.698804624487007,91.21894686710031,0.7222222222222223,24,6
4,64,1,32,0.1,128,50,0.0004511639557159275,1.0609803735404383e-06,27.735354212296695,27.735354212296695,30.960636552256837,27.735354212296695,78.59349386759564,0.5227871939736347,24,6
4,64,1,32,0.05,128,50,0.0007951567034096368,4.512559282976226e-06,28.409814749950964,28.409814749950964,31.735290582160495,28.409814749950964,81.95163951208902,0.5728813559322034,24,6
4,64,1,32,0.05,128,40,0.0011714521602582684,9.335919659172863e-05,27.501141920377357,27.501141920377357,30.997384771092598,27.501141920377357,77.82524104651625,0.556120527306968,24,6
4,64,1,32,0.05,128,50,0.0018345959775383498,0.0010804228883344832,27.635210562871215,27.635210562871215,31.71433404555288,27.635210562871215,72.07772693364392,0.5975517890772127,24,6
4,64,1,32,0.1,128,50,0.0024195279152863865,0.0070867076980089296,28.50460834054241,28.50460834054241,32.46968010952827,28.50460834054241,68.56993919417673,0.5619585687382297,24,6
4,64,1,32,0.1,128,20,0.0005686496116453022,0.000545781150910988,35.14781669824061,35.14781669824061,38.405899185633075,35.14781669824061,108.50900935111696,0.5519774011299435,24,6
2,160,2,32,0.05,128,40,0.0017934259822806025,0.0001271531568174937,30.912873079455156,30.912873079455156,34.96298611052195,30.912873079455156,73.1220932337839,0.6203389830508474,24,6
4,64,2,24,0.05,128,50,0.0008200093911665294,0.0006486894882959159,26.34598604965988,26.34598604965988,30.028506121917193,26.34598604965988,62.0247514707618,0.6826741996233523,24,6
4,64,2,24,0.05,64,50,0.00119350270237897,4.741901187454045e-05,26.92283169356445,26.92283169356445,30.689523566549397,26.92283169356445,63.09567461782571,0.6459510357815443,24,6
