model,well_id,window_start,window_end,n_points,rmse,mae,smape
NaiveDrift,156320,2019-01-01,2024-12-01,72,94.21501625095358,61.756763330017826,144.43186965634823
NaiveDrift,156332,2017-02-01,2022-01-01,60,40.81233594005417,26.700951024217893,59.81981341277471
NaiveDrift,156333,2019-01-01,2024-12-01,72,41.28323880341959,30.169688329489823,95.9662465163698
NaiveDrift,156334,2017-07-01,2023-06-01,72,59.50094907236326,47.101967820191504,60.92451919149294
NaiveDrift,156335,2018-08-01,2024-07-01,72,60.22462572339694,44.046973584014914,62.003543100708576
NaiveDrift,156336,2018-11-01,2024-10-01,72,48.57406492359836,37.01703605992792,87.67024347162307
NaiveDrift,156338,2019-01-01,2024-12-01,72,41.54081140842024,25.127452493157325,68.57815298609736
NaiveDrift,156339,2017-03-01,2023-02-01,72,91.50808519305362,72.61453858024691,87.77193376759371
NaiveDrift,156473,2019-01-01,2024-12-01,72,49.0175706802892,39.09626607248197,89.41200152252982
NaiveDrift,156475,2017-09-01,2023-08-01,72,100.5002962107548,79.81581306199921,70.1374928147733
NaiveDrift,156488,2019-01-01,2024-12-01,72,66.70571366000404,55.156341363633466,112.06003932015702
NaiveDrift,156490,2019-01-01,2024-12-01,72,67.68386218060247,52.99985915856922,113.66761499009421
NaiveDrift,156491,2016-06-01,2022-05-01,72,566.2450607447729,233.0976183504667,66.24653699277486
NaiveDrift,156492,2017-01-01,2022-12-01,72,93.20458838753477,61.93424989708572,94.13660475699969
NaiveDrift,156493,2016-12-01,2021-11-01,60,96.01191391901965,61.967665259740244,54.96312847879357
NaiveDrift,156550,2019-01-01,2024-12-01,72,70.54885741920076,52.15893637461572,50.20303060394285
NaiveDrift,156553,2016-10-01,2022-09-01,72,352.60228569676974,192.1586396220659,62.99003526054331
NaiveDrift,156554,2017-10-01,2023-09-01,72,151.48627980789362,111.01740747227723,57.15130372157915
NaiveDrift,156555,2019-01-01,2024-12-01,72,83.1376534988876,63.863676015152436,51.958429458514715
NaiveDrift,156697,2019-01-01,2024-12-01,72,166.75710595925173,126.68136258688656,95.3450767949428
NaiveDrift,156707,2017-06-01,2022-05-01,60,142.56799075829136,93.83404166666664,68.52592849795569
NaiveDrift,156709,2019-01-01,2024-12-01,72,63.0946102755279,44.06481386167083,40.60306616199624
NaiveDrift,156710,2017-06-01,2022-05-01,60,172.95736399303485,114.68589768518518,41.367547345596186
NaiveDrift,156751,2017-06-01,2023-05-01,72,94.50358627234714,56.346699320686774,63.49929656109397
NaiveDrift,156756,2019-01-01,2024-12-01,72,66.1176780772905,51.94091293891294,100.63449689996492
